Cycle,Year,DailyGDP,CyclyGDP,Population,GDPperCapita,Unemployment,Inflation
363,0.994521,380.024,1.04116,105,3.61927,0.12381,2.22031e-14
364,0.99726,396.025,1.085,105,3.77166,0.12381,2.22031e-14
365,1,368.023,1.00828,105,3.50498,0.12381,-4.44062e-14
366,1.00274,376.023,1.0302,105,3.58118,0.12381,2.22031e-14
367,1.00548,384.024,1.05212,105,3.65737,0.12381,0
368,1.00822,384.024,1.05212,105,3.65737,0.12381,0
369,1.01096,400.025,1.09596,105,3.80976,0.12381,2.22031e-14
370,1.0137,372.023,1.01924,105,3.54308,0.12381,-4.44062e-14
371,1.01644,396.025,1.085,105,3.77166,0.12381,4.44062e-14
372,1.01918,364.023,0.997322,105,3.46688,0.12381,-4.44062e-14
373,1.02192,396.025,1.085,106,3.73608,0.132075,4.44062e-14
374,1.02466,388.024,1.06308,106,3.66061,0.132075,-2.22031e-14
375,1.0274,396.025,1.085,106,3.73608,0.132075,2.22031e-14
376,1.03014,368.023,1.00828,106,3.47191,0.132075,-4.44062e-14
377,1.03288,368.023,1.00828,106,3.47191,0.132075,0
378,1.03562,388.024,1.06308,106,3.66061,0.132075,2.22031e-14
379,1.03836,400.025,1.09596,106,3.77382,0.132075,2.22031e-14
380,1.0411,400.025,1.09596,106,3.77382,0.132075,0
381,1.04384,360.022,0.986363,106,3.39644,0.132075,-4.44062e-14
382,1.04658,384.024,1.05212,106,3.62287,0.132075,2.22031e-14
383,1.04932,400.025,1.09596,106,3.77382,0.132075,2.22031e-14
384,1.05205,384.024,1.05212,106,3.62287,0.132075,-2.22031e-14
385,1.05479,356.022,0.975403,106,3.3587,0.132075,-4.44062e-14
386,1.05753,388.024,1.06308,106,3.66061,0.132075,4.44062e-14
387,1.06027,392.024,1.07404,106,3.69834,0.132075,0
388,1.06301,376.023,1.0302,106,3.54739,0.132075,0
389,1.06575,384.024,1.05212,106,3.62287,0.132075,0
390,1.06849,384.024,1.05212,106,3.62287,0.132075,0
391,1.07123,376.023,1.0302,106,3.54739,0.132075,0
392,1.07397,400.025,1.09596,106,3.77382,0.132075,2.22031e-14
393,1.07671,372.023,1.01924,106,3.50965,0.132075,-4.44062e-14
394,1.07945,408.025,1.11788,106,3.8493,0.132075,4.44062e-14
395,1.08219,368.023,1.00828,106,3.47191,0.132075,-4.44062e-14
396,1.08493,388.024,1.06308,106,3.66061,0.132075,2.22031e-14
397,1.08767,376.023,1.0302,106,3.54739,0.132075,0
398,1.09041,380.024,1.04116,106,3.58513,0.132075,0
399,1.09315,380.024,1.04116,106,3.58513,0.132075,0
400,1.09589,368.023,1.00828,106,3.47191,0.132075,-2.22031e-14
401,1.09863,408.025,1.11788,106,3.8493,0.132075,4.44062e-14
402,1.10137,396.025,1.085,106,3.73608,0.132075,0
403,1.10411,384.024,1.05212,106,3.62287,0.132075,-2.22031e-14
